#Time,Channel,NameOcean,Region,GESID(octal),ChannelUnitID,ChannelType,SUType,BurstFrequencyOffset(Hz)BFO,BurstTimingOffset(microseconds)BTO

7/03/2014,16:00:13.406,IOR-R1200-0-36D3,IOR,305,8,R-ChannelRX,0x15-Log-on/Log-offAcknowledge,103,14820
7/03/2014,16:00:13.906,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,0x15-Log-on/Log-offAcknowledge
7/03/2014,16:00:17.430,IOR-R1200-0-36D3,IOR,305,8,R-ChannelRX,ElevenOctetUserData,103,14740
7/03/2014,16:00:17.906,IOR-R1200-0-36D3,IOR,305,8,R-ChannelRX,ElevenOctetUserData,103,14780
7/03/2014,16:00:18.406,IOR-R1200-0-36D3,IOR,305,8,R-ChannelRX,EightOctetUserData,103,14820
7/03/2014,16:00:18.905,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,0x62-AcknowledgeUserData
7/03/2014,16:00:20.906,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,0x71-AcknowledgeUserData(ISU)-RLS
7/03/2014,16:00:20.906,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:00:20.906,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:00:20.906,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:00:22.906,IOR-R1200-0-36D3,IOR,305,8,R-ChannelRX,0x62-AcknowledgeUserData(R-channel),104,14740
7/03/2014,16:00:23.407,IOR-R1200-0-36D3,IOR,305,8,R-ChannelRX,0x22-AccessRequest(R/T-Channel),103,14820
7/03/2014,16:00:23.905,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,0x51-T-ChannelAssignment
7/03/2014,16:00:27.741,IOR-T1200-0-36D7,IOR,305,8,T-ChannelRX,0x71-AcknowledgeUserData(ISU)-RLS,86,9820
7/03/2014,16:00:27.901,IOR-T1200-0-36D7,IOR,305,8,T-ChannelRX,SubsequentSignallingUnit,86,9820
7/03/2014,16:00:28.061,IOR-T1200-0-36D7,IOR,305,8,T-ChannelRX,SubsequentSignallingUnit,88,9820
7/03/2014,16:00:28.221,IOR-T1200-0-36D7,IOR,305,8,T-ChannelRX,SubsequentSignallingUnit,88,9820
7/03/2014,16:00:28.405,IOR-T1200-0-36D7,IOR,305,8,T-ChannelRX,SubsequentSignallingUnit,88,9820
7/03/2014,16:00:28.541,IOR-T1200-0-36D7,IOR,305,8,T-ChannelRX,SubsequentSignallingUnit,88,9820
7/03/2014,16:00:29.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,0x62-AcknowledgeUserData
7/03/2014,16:00:30.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,0x71-AcknowledgeUserData(ISU)-RLS
7/03/2014,16:00:30.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:00:30.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:00:30.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:00:32.406,IOR-R1200-0-36D3,IOR,305,8,R-ChannelRX,0x62-AcknowledgeUserData(R-channel),85,14820
7/03/2014,16:01:16.406,IOR-R1200-0-36D3,IOR,305,8,R-ChannelRX,ElevenOctetUserData,86,14820
7/03/2014,16:01:16.906,IOR-R1200-0-36D3,IOR,305,8,R-ChannelRX,FourOctetUserData,86,14820
7/03/2014,16:01:17.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,0x62-AcknowledgeUserData
7/03/2014,16:01:18.905,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,0x71-AcknowledgeUserData(ISU)-RLS
7/03/2014,16:01:18.905,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:01:19.906,IOR-R1200-0-36D3,IOR,305,8,R-ChannelRX,0x22-AccessRequest(R/T-Channel),87,14780
7/03/2014,16:01:20.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,0x51-T-ChannelAssignment
7/03/2014,16:01:20.906,IOR-R1200-0-36D3,IOR,305,8,R-ChannelRX,0x62-AcknowledgeUserData(R-channel),87,14800
7/03/2014,16:01:24.241,IOR-T1200-0-36D8,IOR,305,8,T-ChannelRX,0x71-AcknowledgeUserData(ISU)-RLS,88,9800
7/03/2014,16:01:24.401,IOR-T1200-0-36D8,IOR,305,8,T-ChannelRX,SubsequentSignallingUnit,88,9800
7/03/2014,16:01:24.561,IOR-T1200-0-36D8,IOR,305,8,T-ChannelRX,SubsequentSignallingUnit,88,9800
7/03/2014,16:01:24.721,IOR-T1200-0-36D8,IOR,305,8,T-ChannelRX,SubsequentSignallingUnit,88,9800
7/03/2014,16:01:24.881,IOR-T1200-0-36D8,IOR,305,8,T-ChannelRX,SubsequentSignallingUnit,86,9800
7/03/2014,16:01:25.041,IOR-T1200-0-36D8,IOR,305,8,T-ChannelRX,SubsequentSignallingUnit,86,9800
7/03/2014,16:01:25.905,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,0x62-AcknowledgeUserData
7/03/2014,16:01:26.905,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,0x71-AcknowledgeUserData(ISU)-RLS
7/03/2014,16:01:26.905,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:01:28.906,IOR-R1200-0-36D3,IOR,305,8,R-ChannelRX,0x62-AcknowledgeUserData(R-channel),86,14800
7/03/2014,16:06:32.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,0x71-AcknowledgeUserData(ISU)-RLS
7/03/2014,16:06:32.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:32.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit

7/03/2014,16:06:32.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:32.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:32.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:32.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:32.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:32.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:32.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:32.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:32.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:32.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:32.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:32.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:32.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:32.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:32.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:32.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:32.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:32.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:32.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:32.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:32.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:32.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:32.905,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:32.905,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:32.905,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:32.905,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit

7/03/2014,16:06:32.905,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
